Severity,Start_Lat,Start_Lng,City,County,State,Timezone,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Year,Month,Day,Hour,Day_of_Week
2,34.039955,-117.803192,Pomona,Los Angeles,CA,US/Pacific,51.8,100.0,29.99,0.8,Variable,5.8,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2016,12,31,7,Saturday
1,37.650333,-77.607506,Glen Allen,Henrico,VA,US/Eastern,59.0,90.0,30.1,5.0,N,5.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,2022,5,25,8,Wednesday
2,39.556278000000006,-119.788445,Reno,Washoe,NV,US/Pacific,50.0,68.0,30.54,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,10,24,9,Tuesday
2,34.103058000000004,-117.850166,Covina,Los Angeles,CA,US/Pacific,64.4,64.0,29.88,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,9,9,2,Sunday
2,47.463394,-122.293068,Seattle,King,WA,US/Pacific,45.0,65.0,29.76,10.0,SW,9.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2022,9,4,15,Sunday
3,42.47715,-83.202026,Southfield,Oakland,MI,US/Eastern,73.2,93.0,30.01,5.0,SSW,5.8,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2017,12,7,8,Thursday
2,36.630863,-121.542709,Salinas,Monterey,CA,US/Pacific,55.0,89.0,29.95,6.0,NW,3.5,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2018,5,28,2,Monday
3,41.651882,-93.575607,Des Moines,Polk,IA,US/Central,19.0,68.0,29.42,10.0,E,7.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2019,11,12,17,Tuesday
2,40.107182,-75.316757,Plymouth Meeting,Montgomery,PA,US/Eastern,32.0,64.0,29.97,10.0,West,9.2,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2019,1,25,7,Friday
3,38.802006,-77.163635,Alexandria,Fairfax County,VA,US/Eastern,73.9,57.0,29.97,10.0,NNW,10.4,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,2016,3,11,18,Friday
3,35.017754,-81.896988,Spartanburg,Spartanburg,SC,US/Eastern,35.6,87.0,30.07,10.0,Calm,7.0,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,2018,4,12,7,Thursday
